participantid,condition,block,reliabilityT,reliabilityF,theta,resp,rt,flankerMinusTarget,error
1,vertical_0-flanker,1,1,NaN,55,78.75,0.649,NaN,23.75
1,vertical_0-flanker,1,0,NaN,35,35.625,0.4923,NaN,NaN
1,vertical_0-flanker,1,1,NaN,-35,-40.125,0.6075,NaN,-5.125
1,vertical_0-flanker,1,0,NaN,-55,-56.625,0.8909,NaN,-1.625
1,vertical_0-flanker,1,1,NaN,-55,-59.625,0.4491,NaN,NaN
1,vertical_0-flanker,1,1,NaN,-55,-45,0.7583,NaN,10
1,vertical_0-flanker,1,0,NaN,35,42.375,0.5656,NaN,7.375
1,vertical_0-flanker,1,1,NaN,-55,-56.625,0.6657,NaN,-1.625
1,vertical_0-flanker,1,1,NaN,35,42.375,0.5157,NaN,7.375
1,vertical_0-flanker,1,1,NaN,55,40.125,0.3662,NaN,NaN
1,vertical_0-flanker,1,1,NaN,55,55.875,0.7244,NaN,0.875
1,vertical_0-flanker,1,0,NaN,-35,-33,0.7157,NaN,2
1,vertical_0-flanker,1,0,NaN,-35,-46.875,0.4403,NaN,NaN
1,vertical_0-flanker,1,0,NaN,-55,-52.5,0.3408,NaN,NaN
1,vertical_0-flanker,1,0,NaN,35,33.75,0.9581,NaN,-1.25
1,vertical_0-flanker,1,1,NaN,35,55.125,0.674,NaN,20.125
1,vertical_0-flanker,1,1,NaN,35,22.125,0.4571,NaN,NaN
1,vertical_0-flanker,1,1,NaN,55,62.625,0.7662,NaN,7.625
1,vertical_0-flanker,1,0,NaN,-55,-45.75,0.6572,NaN,9.25
1,vertical_0-flanker,1,1,NaN,55,74.25,0.6494,NaN,19.25
1,vertical_0-flanker,1,1,NaN,35,45,0.5583,NaN,10
1,vertical_0-flanker,1,0,NaN,-55,-54.375,0.5573,NaN,0.625
1,vertical_0-flanker,1,0,NaN,55,27,0.7487,NaN,-28
1,vertical_0-flanker,1,1,NaN,35,48.75,0.7573,NaN,13.75
1,vertical_0-flanker,1,1,NaN,35,51,0.8829,NaN,16
1,vertical_0-flanker,1,0,NaN,-35,-48.375,0.5823,NaN,-13.375
1,vertical_0-flanker,1,0,NaN,-55,-58.5,1.0003,NaN,-3.5
1,vertical_0-flanker,1,1,NaN,35,28.5,0.7833,NaN,-6.5
1,vertical_0-flanker,1,0,NaN,55,49.125,0.4411,NaN,NaN
1,vertical_0-flanker,1,1,NaN,-35,-52.875,1.149,NaN,-17.875
1,vertical_0-flanker,1,1,NaN,-35,-42.375,0.7582,NaN,-7.375
1,vertical_0-flanker,1,1,NaN,-55,-49.5,0.8072,NaN,5.5
1,vertical_0-flanker,1,0,NaN,55,32.25,0.725,NaN,-22.75
1,vertical_0-flanker,1,0,NaN,-35,-27.75,0.7,NaN,7.25
1,vertical_0-flanker,1,1,NaN,-55,-41.625,0.6319,NaN,13.375
1,vertical_0-flanker,1,0,NaN,-35,-76.125,0.5069,NaN,NaN
1,vertical_0-flanker,1,0,NaN,35,31.125,0.6408,NaN,-3.875
1,vertical_0-flanker,1,0,NaN,-55,-63.75,1.1079,NaN,-8.75
1,vertical_0-flanker,1,1,NaN,-55,-43.5,0.3826,NaN,NaN
1,vertical_0-flanker,1,0,NaN,35,37.5,0.6829,NaN,2.5
1,vertical_0-flanker,1,1,NaN,55,42.375,0.5583,NaN,-12.625
1,vertical_0-flanker,1,0,NaN,55,46.5,0.3991,NaN,NaN
1,vertical_0-flanker,1,1,NaN,35,35.625,0.424,NaN,NaN
1,vertical_0-flanker,1,1,NaN,55,59.25,0.5246,NaN,4.25
1,vertical_0-flanker,1,1,NaN,-35,-53.625,0.7576,NaN,-18.625
1,vertical_0-flanker,1,1,NaN,35,25.875,0.6825,NaN,-9.125
1,vertical_0-flanker,1,0,NaN,35,61.875,0.4499,NaN,NaN
1,vertical_0-flanker,1,0,NaN,-35,-48.75,0.691,NaN,-13.75
1,vertical_0-flanker,1,0,NaN,55,48.375,0.758,NaN,-6.625
1,vertical_0-flanker,1,1,NaN,-55,-42.75,0.4906,NaN,NaN
1,vertical_0-flanker,1,0,NaN,55,58.125,0.5324,NaN,3.125
1,vertical_0-flanker,1,0,NaN,-55,-57,0.8746,NaN,-2
1,vertical_0-flanker,1,1,NaN,-35,-52.875,0.8906,NaN,-17.875
1,vertical_0-flanker,1,0,NaN,-55,-44.625,2.1489,NaN,10.375
1,vertical_0-flanker,1,1,NaN,55,43.875,1.0406,NaN,-11.125
1,vertical_0-flanker,1,1,NaN,55,54,0.6912,NaN,-1
1,vertical_0-flanker,2,0,NaN,-55,-41.25,0.8823,NaN,13.75
1,vertical_0-flanker,2,1,NaN,55,44.625,0.5333,NaN,-10.375
1,vertical_0-flanker,2,1,NaN,55,50.625,0.4742,NaN,NaN
1,vertical_0-flanker,2,1,NaN,-55,-52.5,0.3573,NaN,NaN
1,vertical_0-flanker,2,0,NaN,55,48.375,0.6582,NaN,-6.625
1,vertical_0-flanker,2,0,NaN,55,57.75,4.9566,NaN,NaN
1,vertical_0-flanker,2,1,NaN,-55,-70.5,0.526,NaN,-15.5
1,vertical_0-flanker,2,1,NaN,-55,-52.5,0.3583,NaN,NaN
1,vertical_0-flanker,2,1,NaN,-35,-48.75,0.5327,NaN,-13.75
1,vertical_0-flanker,2,0,NaN,55,40.5,0.5252,NaN,-14.5
1,vertical_0-flanker,2,1,NaN,-55,-45,0.7418,NaN,10
1,vertical_0-flanker,2,1,NaN,35,33.75,0.6404,NaN,-1.25
1,vertical_0-flanker,2,1,NaN,-55,-61.125,0.6995,NaN,-6.125
1,vertical_0-flanker,2,0,NaN,-35,-22.875,1.0078,NaN,12.125
1,vertical_0-flanker,2,1,NaN,55,37.875,0.466,NaN,NaN
1,vertical_0-flanker,2,1,NaN,-35,-31.5,0.5073,NaN,3.5
1,vertical_0-flanker,2,1,NaN,55,39,0.7322,NaN,-16
1,vertical_0-flanker,2,1,NaN,35,-13.5,0.4994,NaN,NaN
1,vertical_0-flanker,2,1,NaN,-35,-29.25,0.4667,NaN,NaN
1,vertical_0-flanker,2,0,NaN,35,31.5,0.4498,NaN,NaN
1,vertical_0-flanker,2,0,NaN,55,46.125,0.5077,NaN,-8.875
1,vertical_0-flanker,2,0,NaN,-55,-40.875,0.5328,NaN,14.125
1,vertical_0-flanker,2,0,NaN,-55,-44.25,0.624,NaN,10.75
1,vertical_0-flanker,2,0,NaN,55,52.5,0.625,NaN,-2.5
1,vertical_0-flanker,2,1,NaN,-55,-40.875,0.5498,NaN,14.125
1,vertical_0-flanker,2,1,NaN,-55,-49.125,0.5908,NaN,5.875
1,vertical_0-flanker,2,0,NaN,55,41.625,0.5916,NaN,-13.375
1,vertical_0-flanker,2,0,NaN,-55,-48.75,0.8159,NaN,6.25
1,vertical_0-flanker,2,0,NaN,55,51.75,0.9002,NaN,-3.25
1,vertical_0-flanker,2,0,NaN,-55,-44.625,0.674,NaN,10.375
1,vertical_0-flanker,2,1,NaN,35,29.25,0.882,NaN,-5.75
1,vertical_0-flanker,2,1,NaN,35,28.125,0.6238,NaN,-6.875
1,vertical_0-flanker,2,0,NaN,55,44.625,0.4902,NaN,NaN
1,vertical_0-flanker,2,0,NaN,-35,-29.625,0.6156,NaN,5.375
1,vertical_0-flanker,2,1,NaN,55,31.875,0.4997,NaN,NaN
1,vertical_0-flanker,2,1,NaN,-55,-21,1.1073,NaN,34
1,vertical_0-flanker,2,1,NaN,55,70.875,2.366,NaN,15.875
1,vertical_0-flanker,2,0,NaN,-55,-61.125,0.7166,NaN,-6.125
1,vertical_0-flanker,2,1,NaN,55,63.75,0.5167,NaN,8.75
1,vertical_0-flanker,2,0,NaN,35,18.375,0.5666,NaN,-16.625
1,vertical_0-flanker,2,1,NaN,55,54,0.7746,NaN,-1
1,vertical_0-flanker,2,1,NaN,-55,-47.25,0.7404,NaN,7.75
1,vertical_0-flanker,2,0,NaN,-55,-47.25,0.4744,NaN,NaN
1,vertical_0-flanker,2,0,NaN,35,27.75,0.599,NaN,-7.25
1,vertical_0-flanker,2,0,NaN,55,58.875,0.7904,NaN,3.875
1,vertical_0-flanker,2,1,NaN,35,27.375,0.7236,NaN,-7.625
1,vertical_0-flanker,2,1,NaN,35,14.25,0.6157,NaN,-20.75
1,vertical_0-flanker,2,1,NaN,55,69.375,0.7076,NaN,14.375
1,vertical_0-flanker,2,0,NaN,55,67.5,0.6161,NaN,12.5
1,vertical_0-flanker,2,1,NaN,-35,-43.125,1.2326,NaN,-8.125
1,vertical_0-flanker,2,0,NaN,-35,-31.125,1.0073,NaN,3.875
1,vertical_0-flanker,2,0,NaN,55,41.625,0.774,NaN,-13.375
1,vertical_0-flanker,2,1,NaN,-55,-41.25,0.6739,NaN,13.75
1,vertical_0-flanker,2,0,NaN,35,35.25,0.5824,NaN,0.25
1,vertical_0-flanker,2,0,NaN,-55,-14.625,0.5907,NaN,NaN
1,vertical_0-flanker,2,0,NaN,-35,-41.625,1.0739,NaN,-6.625
1,vertical_0-flanker,3,0,NaN,-35,-18,0.8741,NaN,17
1,vertical_0-flanker,3,0,NaN,55,24,0.7912,NaN,-31
1,vertical_0-flanker,3,0,NaN,-35,-40.5,0.6258,NaN,-5.5
1,vertical_0-flanker,3,0,NaN,-55,-30,0.916,NaN,25
1,vertical_0-flanker,3,0,NaN,55,44.625,0.8658,NaN,-10.375
1,vertical_0-flanker,3,0,NaN,55,40.5,0.583,NaN,-14.5
1,vertical_0-flanker,3,1,NaN,35,27.375,0.8078,NaN,-7.625
1,vertical_0-flanker,3,0,NaN,55,54.375,0.6579,NaN,-0.625
1,vertical_0-flanker,3,1,NaN,-55,-51,0.6164,NaN,4
1,vertical_0-flanker,3,0,NaN,-55,-46.125,0.4997,NaN,NaN
1,vertical_0-flanker,3,0,NaN,35,17.25,0.5997,NaN,-17.75
1,vertical_0-flanker,3,1,NaN,-35,-30.375,0.583,NaN,4.625
1,vertical_0-flanker,3,1,NaN,-35,-38.625,0.5914,NaN,-3.625
1,vertical_0-flanker,3,1,NaN,-35,-17.625,0.533,NaN,17.375
1,vertical_0-flanker,3,0,NaN,-55,-45.375,0.8244,NaN,9.625
1,vertical_0-flanker,3,0,NaN,-35,-37.875,0.7496,NaN,-2.875
1,vertical_0-flanker,3,1,NaN,-55,-27,0.5997,NaN,28
1,vertical_0-flanker,3,1,NaN,-55,-58.5,0.9995,NaN,-3.5
1,vertical_0-flanker,3,1,NaN,-35,-37.5,1.0744,NaN,-2.5
1,vertical_0-flanker,3,0,NaN,-35,-30.375,0.6995,NaN,4.625
1,vertical_0-flanker,3,0,NaN,35,23.25,0.9497,NaN,-11.75
1,vertical_0-flanker,3,1,NaN,55,57.375,0.5832,NaN,2.375
1,vertical_0-flanker,3,0,NaN,35,28.5,0.7913,NaN,-6.5
1,vertical_0-flanker,3,0,NaN,35,33.375,0.5329,NaN,-1.625
1,vertical_0-flanker,3,1,NaN,-35,-24,0.9328,NaN,11
1,vertical_0-flanker,3,1,NaN,35,24.375,0.6078,NaN,-10.625
1,vertical_0-flanker,3,1,NaN,-55,-57.375,0.4579,NaN,NaN
1,vertical_0-flanker,3,1,NaN,35,51.75,0.5665,NaN,16.75
1,vertical_0-flanker,3,0,NaN,-35,-30.375,0.9079,NaN,4.625
1,vertical_0-flanker,3,0,NaN,-55,-46.125,0.7746,NaN,8.875
1,vertical_0-flanker,3,0,NaN,55,42,0.5745,NaN,-13
1,vertical_0-flanker,3,0,NaN,-35,-34.5,0.6328,NaN,0.5
1,vertical_0-flanker,3,1,NaN,-55,-60,0.5744,NaN,-5
1,vertical_0-flanker,3,0,NaN,35,41.625,0.4914,NaN,NaN
1,vertical_0-flanker,3,0,NaN,-55,-49.125,0.5996,NaN,5.875
1,vertical_0-flanker,3,1,NaN,55,35.25,0.733,NaN,-19.75
1,vertical_0-flanker,3,1,NaN,-35,-37.125,0.6412,NaN,-2.125
1,vertical_0-flanker,3,0,NaN,-35,-40.875,0.8579,NaN,-5.875
1,vertical_0-flanker,3,0,NaN,35,45,0.4913,NaN,NaN
1,vertical_0-flanker,3,0,NaN,55,52.5,0.4998,NaN,NaN
1,vertical_0-flanker,3,0,NaN,-35,-31.5,0.6578,NaN,3.5
1,vertical_0-flanker,3,0,NaN,-35,-25.875,0.4914,NaN,NaN
1,vertical_0-flanker,3,1,NaN,35,28.125,0.758,NaN,-6.875
1,vertical_0-flanker,3,1,NaN,-35,-35.625,0.7163,NaN,-0.625
1,vertical_0-flanker,3,1,NaN,-55,-72,0.9412,NaN,-17
1,vertical_0-flanker,3,1,NaN,-55,-55.875,0.7411,NaN,-0.875
1,vertical_0-flanker,3,0,NaN,-55,-43.125,0.5831,NaN,11.875
1,vertical_0-flanker,3,1,NaN,35,30.375,0.5996,NaN,-4.625
1,vertical_0-flanker,3,0,NaN,35,28.875,0.6497,NaN,-6.125
1,vertical_0-flanker,3,1,NaN,-35,-22.875,0.9663,NaN,12.125
1,vertical_0-flanker,3,0,NaN,-35,-45,0.7997,NaN,-10
1,vertical_0-flanker,3,1,NaN,-55,-48,0.7914,NaN,7
1,vertical_0-flanker,3,0,NaN,-35,27.75,0.6498,NaN,NaN
1,vertical_0-flanker,3,1,NaN,-35,-36.75,0.4743,NaN,NaN
1,vertical_0-flanker,3,1,NaN,35,48.375,0.5491,NaN,13.375
1,vertical_0-flanker,3,0,NaN,-55,-18.375,0.6486,NaN,NaN
1,vertical_0-flanker,4,0,NaN,35,7.875,0.6157,NaN,-27.125
1,vertical_0-flanker,4,0,NaN,-55,-46.125,0.4406,NaN,NaN
1,vertical_0-flanker,4,0,NaN,35,52.5,0.775,NaN,17.5
1,vertical_0-flanker,4,1,NaN,55,40.875,0.4658,NaN,NaN
1,vertical_0-flanker,4,1,NaN,55,46.125,0.6324,NaN,-8.875
1,vertical_0-flanker,4,0,NaN,55,54.375,0.5836,NaN,-0.625
1,vertical_0-flanker,4,0,NaN,-55,-61.875,0.4164,NaN,NaN
1,vertical_0-flanker,4,1,NaN,-35,-33.75,0.6162,NaN,1.25
1,vertical_0-flanker,4,1,NaN,-35,-43.5,0.4657,NaN,NaN
1,vertical_0-flanker,4,1,NaN,35,33,0.5407,NaN,-2
1,vertical_0-flanker,4,1,NaN,55,43.125,0.5578,NaN,-11.875
1,vertical_0-flanker,4,1,NaN,-55,-62.625,0.491,NaN,NaN
1,vertical_0-flanker,4,1,NaN,35,29.25,0.499,NaN,NaN
1,vertical_0-flanker,4,1,NaN,-35,-39,0.6157,NaN,-4
1,vertical_0-flanker,4,0,NaN,55,43.875,0.5737,NaN,-11.125
1,vertical_0-flanker,4,0,NaN,-55,-40.125,0.9176,NaN,14.875
1,vertical_0-flanker,4,1,NaN,-35,-27,0.6663,NaN,8
1,vertical_0-flanker,4,1,NaN,-35,-39.375,0.5576,NaN,-4.375
